año,deforestacion,Incertidumbre (%),Z_alfa/2   * sigma,limite inferior,limite superior
2009,196484.04840000003,52.2776,100203.1632,196431.77080000003,196536.32600000003
2010,200413.72936800003,52.800376,100704.17901599998,200360.92899200003,200466.52974400003
2011,204422.00395536004,53.32837976,101207.69991107997,204368.67557560003,204475.33233512004
2012,208510.44403446725,53.8616635576,101713.73841063536,208456.58237090966,208564.30569802484
2013,212680.6529151566,54.400280193175995,102222.30710268852,212626.25263496343,212735.05319534976
2014,216934.26597345973,54.944282995107756,102733.41863820195,216879.32169046463,216989.21025645483
2015,221272.95129292892,55.49372582505883,103247.08573139296,221217.45756710385,221328.445018754
2016,225698.4103187875,56.04866308330942,103763.32116004992,225642.36165570418,225754.45898187082
2017,230212.37852516325,56.60914971414252,104282.13776585016,230155.7693754491,230268.9876748774
